brightness,latitude,longitude,timestamp
0,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
0,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1469480032633,-2.10144429467814,"2016-02-11 18:08:59"
0,57.1470257873248,-2.10155535489516,"2016-02-11 18:09:04"
