ZBRIGHTNESS,latitude,longitude,timestamp
0,57.1430367976959,-2.09417902864711,"2016-02-11 20:09:55"
0,57.1430367976959,-2.09417902864711,"2016-02-11 20:09:55"
0,57.1430367976959,-2.09417902864711,"2016-02-11 20:09:55"
0,57.1430367976959,-2.09417902864711,"2016-02-11 20:09:55"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1430936269994,-2.09404894150989,"2016-02-11 20:10:02"
0,57.1432081237968,-2.09385825321273,"2016-02-11 20:10:09"
0,57.1432081237968,-2.09385825321273,"2016-02-11 20:10:09"
0,57.1432081237968,-2.09385825321273,"2016-02-11 20:10:09"
0,57.1432081237968,-2.09385825321273,"2016-02-11 20:10:09"
0,57.1433296194832,-2.09372959099905,"2016-02-11 20:10:11"
0,57.1433296194832,-2.09372959099905,"2016-02-11 20:10:11"
0,57.1433296194832,-2.09372959099905,"2016-02-11 20:10:11"
0,57.1433296194832,-2.09372959099905,"2016-02-11 20:10:11"
0,57.1434737463083,-2.09362179972426,"2016-02-11 20:10:13"
0,57.1434737463083,-2.09362179972426,"2016-02-11 20:10:13"
0,57.1434737463083,-2.09362179972426,"2016-02-11 20:10:13"
0,57.1434737463083,-2.09362179972426,"2016-02-11 20:10:13"
0,57.1436211420755,-2.09363847971157,"2016-02-11 20:10:15"
0,57.1436211420755,-2.09363847971157,"2016-02-11 20:10:15"
0,57.1436211420755,-2.09363847971157,"2016-02-11 20:10:15"
0,57.1436211420755,-2.09363847971157,"2016-02-11 20:10:15"
0,57.1437463677089,-2.09378281608419,"2016-02-11 20:10:17"
0,57.1437463677089,-2.09378281608419,"2016-02-11 20:10:17"
0,57.1438284684505,-2.09389211610155,"2016-02-11 20:10:18"
0,57.1438284684505,-2.09389211610155,"2016-02-11 20:10:18"
0,57.1439072583403,-2.09398532286481,"2016-02-11 20:10:19"
0,57.1439072583403,-2.09398532286481,"2016-02-11 20:10:19"
0,57.1439072583403,-2.09398532286481,"2016-02-11 20:10:19"
0,57.1439072583403,-2.09398532286481,"2016-02-11 20:10:19"
0,57.1440092661019,-2.09414441138701,"2016-02-11 20:10:21"
0,57.1440092661019,-2.09414441138701,"2016-02-11 20:10:21"
0,57.1440092661019,-2.09414441138701,"2016-02-11 20:10:21"
0,57.1440092661019,-2.09414441138701,"2016-02-11 20:10:21"
0,57.1440092661019,-2.09414441138701,"2016-02-11 20:10:21"
0,57.1440092661019,-2.09414441138701,"2016-02-11 20:10:21"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
0,57.1441026405032,-2.09421406500237,"2016-02-11 20:10:24"
